,d',triangle,twoAFC,threeAFC,fourAFC,tetu,tets,duotrio,dualpair
59,2.95,0.7739138151259636,0.9815091034135026,0.9660551991902204,0.9526548921801514,0.9381843831104496,0.9380571453861515,0.8715030008142042,0.8696172352440494
60,3.0,0.7814276031722392,0.9830525732376554,0.9687954779605493,0.9563743715593062,0.9429716188966947,0.9428656897832809,0.8764567040224154,0.8753120017450393
61,3.0500000000000003,0.7887784815877543,0.9844845284989499,0.9713487908486845,0.9598517846732825,0.9474570494062443,0.9473690530288469,0.8812535010770051,0.8808383413103074
62,3.1,0.7959653144416653,0.9858113666310063,0.9737246243044503,0.963098136141123,0.9516530307041762,0.9515800912977151,0.8858959130299543,0.88619611744577
63,3.1500000000000004,0.8029873062686054,0.9870392684067149,0.9759322817203963,0.9661243632713199,0.955572053269495,0.9555117271161945,0.8903866647694392,0.8913855794531131
64,3.2,0.8098439835008251,0.988174191672322,0.9779808580907408,0.9689412919549103,0.9592266656945989,0.9591768813196452,0.8947286566607644,0.8964073413424305
65,3.25,0.8165351761295473,0.9892218666199918,0.9798792176997305,0.9715595964078675,0.9626294043485235,0.9625884101331473,0.8989249377928471,0.9012623605006131
66,3.3000000000000003,0.8230609996664682,0.9901877925116801,0.9816359747648942,0.9739897627776699,0.9657927290545401,0.9657590474862163,0.9029786808783641,0.9059519162315124
67,3.35,0.8294218374672946,0.9910772357633035,0.9832594769418931,0.9762420565932116,0.9687289647729772,0.968701352612507,0.9068931588362226,0.9104775882774259
68,3.4000000000000004,0.8356183234705881,0.9918952292953873,0.9847577915812574,0.9783264940045213,0.971450249225713,0.9714276629299077,0.9106717230671033,0.9148412354246802
69,3.45,0.8416513253969791,0.9926465730545825,0.9861386946132721,0.9802528167291915,0.9739684863498332,0.9739500521457141,0.9143177834164812,0.9190449742890587
70,3.5,0.847521928446122,0.9933358356095913,0.9874096619255708,0.9820304705960978,0.9762953054245598,0.9762802934859139,0.9178347898048337,0.9230911583696455
